reporter_iso3,reporter_name,year,avg_hhi,avg_cr3,avg_distance,total_imports,lpi_score,customs,infrastructure,logistics_quality,tracking_tracing,timeliness,gvc_participation
BEL,Belgium,2019,0.1018479054466883,0.4783215447449684,5979.007637330183,243451878.98557693,4.04,3.66,3.98,4.13,4.05,4.41,82
BEL,Belgium,2020,0.10230135782501129,0.47565897263021933,5884.285586124402,229921534.988931,4,3.9,4.1,4.2,4,4.2,82
BEL,Belgium,2021,0.1055293215200677,0.48959407780987646,6087.505179657269,290210871.59558797,4,3.9,4.1,4.2,4,4.2,NA
BEL,Belgium,2022,0.10160935826276467,0.4753620827897103,5983.789498575498,295473029.172753,4,3.9,4.1,4.2,4,4.2,NA
BEL,Belgium,2023,0.10284990151633078,0.48112544741161956,5964.694017543859,296230044.452269,4,3.9,4.1,4.2,4,4.2,NA
BRA,Brazil,2019,0.15998799676444866,0.540203537710538,9780.088101071975,149957635.532,2.99,2.41,2.93,3.09,3.11,3.51,58
BRA,Brazil,2020,0.1654338409053845,0.5507283331438652,9812.471885625966,134331277.967,3.2,2.9,3.2,3.3,3.2,3.5,58
BRA,Brazil,2021,0.16035616687419754,0.5490165061596712,9799.692242783123,183839416.675,3.2,2.9,3.2,3.3,3.2,3.5,NA
BRA,Brazil,2022,0.17795581128743282,0.5674394473110835,9790.16058866814,219482610.89000002,3.2,2.9,3.2,3.3,3.2,3.5,NA
BRA,Brazil,2023,0.17350074268563442,0.5682207095705196,9817.688561946903,194727649.684,3.2,2.9,3.2,3.3,3.2,3.5,NA
CAN,Canada,2019,0.2996020524509402,0.7128276284924564,8828.839938938469,370077587.488516,3.73,3.6,3.75,3.9,3.81,3.96,68
CAN,Canada,2020,0.2988645311040498,0.7139057299610615,8798.558403241183,334831388.406416,4,4,4.3,4.2,4.1,4.1,68
CAN,Canada,2021,0.28654831111588164,0.70159582788446,8811.140915460066,401673480.659643,4,4,4.3,4.2,4.1,4.1,NA
CAN,Canada,2022,0.28216012954882413,0.6939954802339621,8819.647510548522,459531223.268939,4,4,4.3,4.2,4.1,4.1,NA
CAN,Canada,2023,0.2812365973810528,0.6910911883368543,8808.623675650557,454685918.444424,4,4,4.3,4.2,4.1,4.1,NA
CHE,Switzerland,2019,0.1467744394997039,0.539263920088837,5694.0648534583825,252518997.6496642,3.9,3.63,4.02,3.97,4.1,4.24,75
CHE,Switzerland,2020,0.15154771461356684,0.539943819707872,5751.637683844818,268788981.37987995,4.1,4.1,4.4,4.3,4.2,4.2,75
CHE,Switzerland,2021,0.14772112610780597,0.5412699675932282,5679.320095720721,294529587.1961807,4.1,4.1,4.4,4.3,4.2,4.2,NA
CHE,Switzerland,2022,0.13797960680452082,0.523756753828067,5672.789960871995,314549463.335364,4.1,4.1,4.4,4.3,4.2,4.2,NA
CHE,Switzerland,2023,0.13716768960352937,0.5245652352504478,5712.331328210757,332067316.52421,4.1,4.1,4.4,4.3,4.2,4.2,NA
CHN,China,2019,0.1039986724734999,0.4555514614210786,8488.069658965896,1109243185.621,3.61,3.29,3.75,3.59,3.65,3.84,60
CHN,China,2020,0.1074847079996572,0.45709312669281005,8438.29173206278,1106122117.039,3.7,3.3,4,3.8,3.8,3.7,60
CHN,China,2021,0.10575633632344869,0.46611626790753824,8485.892028169013,1366976332.595,3.7,3.3,4,3.8,3.8,3.7,NA
CHN,China,2022,0.10936841638156475,0.48380903427353167,8419.865746606334,1336012757.721,3.7,3.3,4,3.8,3.8,3.7,NA
CHN,China,2023,0.10798168627734286,0.4712485169619871,8503.152152542372,1239620925.6990001,3.7,3.3,4,3.8,3.8,3.7,NA
CIV,Côte d'Ivoire,2019,0.17019371642372588,0.5447669499347924,6317.280023752969,5687277.153074814,3.08,2.78,2.89,3.23,3.14,3.23,60
CMR,Cameroon,2019,0.21531139277753938,0.5775669097180096,6178.777072310406,3219128.596616,2.6,2.46,2.57,2.6,2.47,2.57,55
CMR,Cameroon,2020,0.2102481463447057,0.5847841283246279,5928.632546705998,2930404.80131,2.1,2.1,2.1,2.1,1.8,2.1,55
