year,reporter_region,partner_region,total_value_kusd,region_total,import_share_pct
2020,East Asia & Pacific,South Asia,28663143.794231564,2091132738.7608244,1.3706993947795458
2020,East Asia & Pacific,Sub-Saharan Africa,25822368.405738734,2091132738.7608244,1.2348507546699643
2020,Europe & Central Asia,East Asia & Pacific,976452794.0978833,4622326072.033968,21.12470602205295
2020,Europe & Central Asia,Europe & Central Asia,3036795028.9118896,4622326072.033968,65.69841637276802
2020,Europe & Central Asia,Latin America & Caribbean,60033018.51919111,4622326072.033968,1.2987620860934785
2020,Europe & Central Asia,"Middle East, North Africa, Afghanistan & Pakistan",100895960.0005608,4622326072.033968,2.1827962464829627
2020,Europe & Central Asia,North America,332026888.16133654,4622326072.033968,7.183112636085284
2020,Europe & Central Asia,South Asia,75922287.49813816,4622326072.033968,1.6425125859788159
2020,Europe & Central Asia,Sub-Saharan Africa,40200094.84496867,4622326072.033968,0.869694050538485
2020,Latin America & Caribbean,East Asia & Pacific,195067801.2825,488273150.13036,39.9505484236478
2020,Latin America & Caribbean,Europe & Central Asia,86052325.91117,488273150.13036,17.623808699740216
2020,Latin America & Caribbean,Latin America & Caribbean,31383559.01885,488273150.13036,6.427459509184801
2020,Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan",7272368.37252,488273150.13036,1.4894057497485598
2020,Latin America & Caribbean,North America,157698337.46309,488273150.13036,32.29715527486765
2020,Latin America & Caribbean,South Asia,9374099.522739999,488273150.13036,1.9198474297096382
2020,Latin America & Caribbean,Sub-Saharan Africa,1424658.55949,488273150.13036,0.29177491310133313
2020,"Middle East, North Africa, Afghanistan & Pakistan",East Asia & Pacific,66513923.102790795,184075316.22799474,36.134080584931326
2020,"Middle East, North Africa, Afghanistan & Pakistan",Europe & Central Asia,71908294.55190061,184075316.22799474,39.064604654996415
2020,"Middle East, North Africa, Afghanistan & Pakistan",Latin America & Caribbean,2304663.249247296,184075316.22799474,1.252021887819414
2020,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",16627939.320537498,184075316.22799474,9.033225997527131
2020,"Middle East, North Africa, Afghanistan & Pakistan",North America,18728832.95972227,184075316.22799474,10.174548844194206
2020,"Middle East, North Africa, Afghanistan & Pakistan",South Asia,7019328.8559764745,184075316.22799474,3.813291754600258
2020,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,972334.1878197853,184075316.22799474,0.5282262759312374
2020,North America,East Asia & Pacific,974156540.804259,2367321987.117327,41.15014966723995
2020,North America,Europe & Central Asia,581921068.555798,2367321987.117327,24.581407671729504
2020,North America,Latin America & Caribbean,363117435.86106,2367321987.117327,15.3387430116013
2020,North America,"Middle East, North Africa, Afghanistan & Pakistan",33040937.109697,2367321987.117327,1.3957094678924828
2020,North America,North America,340279499.397964,2367321987.117327,14.37402690676312
2020,North America,South Asia,59518673.549897,2367321987.117327,2.5141773647095853
2020,North America,Sub-Saharan Africa,15287831.838652,2367321987.117327,0.6457859100640507
2020,South Asia,East Asia & Pacific,123890617.38321303,234041192.91453263,52.93538963820592
2020,South Asia,Europe & Central Asia,52075342.54444988,234041192.91453263,22.25050295460885
2020,South Asia,Latin America & Caribbean,5795072.367720138,234041192.91453263,2.476090766567058
2020,South Asia,"Middle East, North Africa, Afghanistan & Pakistan",22730346.357959997,234041192.91453263,9.712113527920994
2020,South Asia,North America,19726889.27731443,234041192.91453263,8.428810771152714
2020,South Asia,South Asia,1572733.4259633876,234041192.91453263,0.671990005852397
2020,South Asia,Sub-Saharan Africa,8250191.557911786,234041192.91453263,3.5251023356920754
2020,Sub-Saharan Africa,East Asia & Pacific,59016277.394680545,138718411.80421782,42.543939645138096
2020,Sub-Saharan Africa,Europe & Central Asia,42434031.109657854,138718411.80421782,30.590049696898003
2020,Sub-Saharan Africa,Latin America & Caribbean,2231551.713319229,138718411.80421782,1.6086917982226907
2020,Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan",6634410.052734486,138718411.80421782,4.782645624647184
2020,Sub-Saharan Africa,North America,10588530.245051572,138718411.80421782,7.633110924017673
2020,Sub-Saharan Africa,South Asia,10867549.567092014,138718411.80421782,7.834251723145506
2020,Sub-Saharan Africa,Sub-Saharan Africa,6946061.721682102,138718411.80421782,5.0073105879308395
2021,East Asia & Pacific,East Asia & Pacific,1498829672.820298,2555273059.0793347,58.65634075758332
2021,East Asia & Pacific,Europe & Central Asia,590848782.0385311,2555273059.0793347,23.122725766592396
2021,East Asia & Pacific,Latin America & Caribbean,61462830.62117727,2555273059.0793347,2.405333175755484
