year,partner_iso3,partner_name,total_value,global_share_pct
2020,PLW,Palau,14455.622975570415,1.418056505216884e-4
2020,VCT,St. Vincent and the Grenadines,14367.158121509203,1.4093783484887674e-4
2020,COM,Comoros,14201.837285768002,1.3931608332030625e-4
2020,VUT,Vanuatu,13642.566634471954,1.338297934067721e-4
2020,TCD,Chad,9866.90915157627,9.679164109649604e-5
2020,ATA,ATA,9815.919981465726,9.629145148520732e-5
2020,TKL,TKL,9717.58683950595,9.532683064617377e-5
2020,SOM,Somalia,9099.04386582391,8.92590956957788e-5
2020,LCA,St. Lucia,8723.256946271154,8.557273028110408e-5
2020,STP,Sao Tome and Principe,8541.672410582005,8.379143636858333e-5
2020,AIA,AIA,7183.992096143292,7.047296918700031e-5
2020,GUM,Guam,6657.3292344388055,6.530655264197611e-5
2020,COK,Cook Islands,6427.8520956142265,6.30554455810166e-5
2020,CXR,CXR,6412.671248680332,6.290652568468496e-5
2020,UMI,UMI,6304.26141902442,6.18430553352381e-5
2020,NRU,Nauru,5747.803157953829,5.638435418948765e-5
2020,BDI,Burundi,5317.9661695194245,5.21677725958591e-5
2020,BUN,BUN,4932.341018176,4.838489685704156e-5
2020,VAT,VAT,4699.61068829661,4.6101876894467315e-5
2020,SSD,South Sudan,4418.642585890172,4.334565776749351e-5
2020,TCA,Turks and Caicos Islands,4282.928549312694,4.2014340723993054e-5
2020,CCK,CCK,3824.495966817001,3.751724428677956e-5
2020,GRD,Grenada,3680.10334786331,3.610079275813484e-5
2020,ATF,ATF,3636.91275804254,3.5677105055688525e-5
2020,ERI,Eritrea,3457.234585375936,3.391451203547795e-5
2020,ASM,American Samoa,3454.76247112414,3.3890261280582615e-5
2020,FSM,Micronesia,3062.373165409824,3.004103106417428e-5
2020,MSR,MSR,2886.052478786972,2.8311374050482158e-5
2020,SHN,SHN,2470.259042904953,2.4232555810857237e-5
2020,BES,BES,2233.29305773518,2.1907985245112632e-5
2020,TUV,Tuvalu,2145.075182293856,2.1042592364035186e-5
2020,TMP,TMP,2126.607445744677,2.0861428992560624e-5
2020,TON,Tonga,1914.852735140511,1.8784174035164313e-5
2020,MNP,Northern Mariana Islands,1911.235434094052,1.874868931555778e-5
2020,SPM,SPM,1895.285402504,1.859222393116783e-5
2020,WLF,WLF,1520.990837346093,1.4920498099036746e-5
2020,IOT,IOT,1445.67613662463,1.4181681781836006e-5
2020,GNB,Guinea-Bissau,1285.82857711917,1.2613621574518541e-5
2020,KIR,Kiribati,1237.98610249177,1.214430017283484e-5
2020,PCN,PCN,829.66739386834,8.138806933672904e-6
2020,NFK,NFK,708.293010407089,6.9481579085510805e-6
2020,ESH,ESH,424.146078298539,4.1607553442001664e-6
2020,HMD,HMD,342.868127916,3.3634412023922678e-6
2020,BVT,BVT,103.16399309768,1.0120101483245982e-6
2020,SGS,SGS,56.4657191553,5.539130378901099e-7
2020,BAT,BAT,3.67170328,3.6018390423085285e-8
2021,CHN,China,2129638720.4947557,17.224519678979792
2021,DEU,Germany,1188980731.8884404,9.616477112879705
2021,USA,United States,1009031077.0623393,8.161044160356322
2021,JPN,Japan,590866623.9161994,4.778929728011579
2021,KOR,South Korea,476738988.6003902,3.8558653220658163
2021,ITA,Italy,430660061.4684079,3.483178922474661
2021,MEX,Mexico,415299124.7342015,3.358939653851468
2021,FRA,France,409175695.7546642,3.309413355354992
2021,NLD,Netherlands,355004195.49437886,2.871274217813216
2021,VNM,Vietnam,325766107.1488626,2.634796535830567
2021,CHE,Switzerland,307588693.806279,2.4877776021404707
2021,BEL,Belgium,297310308.18762803,2.4046460110152554
2021,GBR,United Kingdom,288438978.1896193,2.3328946868780203
2021,CAN,Canada,287694400.960329,2.3268725456504926
2021,ESP,Spain,239234257.05328646,1.9349268628733078
2021,MYS,Malaysia,217571751.4443547,1.7597205001385194
2021,IND,India,209891857.89527655,1.6976055149555702
2021,POL,Poland,206881055.99394032,1.6732541467633972
2021,IRL,Ireland,205904849.54512158,1.665358588222595
2021,THA,Thailand,199377625.16826576,1.6125663922288302
2021,CZE,Czechia,148702971.9121461,1.2027097560606392
2021,AUT,Austria,140168894.3050206,1.1336861295312888
2021,SWE,Sweden,135031343.33381966,1.0921336131567492
2021,SGP,Singapore,133416928.36850837,1.0790762236228175
2021,TUR,Turkey,127356445.24592517,1.030059031267859
2021,RUS,Russia,123464283.17881346,0.9985792213481889
2021,IDN,Indonesia,100831492.88638476,0.8155251953152691
2021,HUN,Hungary,98204460.46165843,0.7942777549576369
2021,ZAF,South Africa,89828267.55222757,0.7265310999898379
2021,BRA,Brazil,80005478.30483441,0.6470843726806688
2021,SVK,Slovakia,78447478.37424201,0.6344832679927791
